seller_id,product_id,title,price,discounts,url,img_url,review
49329242,49329240,Ði?n Tho?i Oppo A31 2020 (4GB/128GB),3490000,-22%,/di?n-tho?i-oppo-a31-2020-4gb-128gb-h?ng-ch?nh-h?ng-p49329240.html?spid=49329242&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/19/c3/e3/59dfcb0bdb13a1604e5c53385d795158.jpg,(15 nh?n xét)
56307924,56307922,Ði?n Tho?i?no?ia 5.3 (64GB/3GB),3490000,-13%,/di?n-tho?i?no?ia-5-3-64gb-3gb-h?ng-ch?nh-h?ng-p56307922.html?spid=56307924&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/02/20/f0/8b1ca528378774ae85ae4d596d7d9f09.jpg,(21 nh?n xét)
53830730,53826923,Ði?n tho?i Xiao?i Redmi 8 (3GB/32GB),2390000,-11%,/di?n-tho?i-xiao?i-redmi-8-3gb-32gb-h?ng-ch?nh-h?ng-p53826923.html?spid=53830730&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/22/e0/40/460467ebc6d00f746df1fb61705dd1f9.jpg,(20 nh?n xét)
54446729,54446719,Ði?n THo?i XIAo?i REDMi?nOTE 9S (NGUYÊN SEAL...,4490000,-18%,/di?n-tho?i-xiao?i-redmi?note-9s-nguyen-seal-global-versi?n-h?ng-nhap-khau-co-san-ti?ng-viet-kh?ng-can-cai-dat-p54446719.html?spid=54446729&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/58/24/71/17948a1af4a72b22b08108faac665456.png,(6 nh?n xét)
53727819,10761518,Ði?n Tho?i Mobell S41,639000,-54%,/di?n-tho?i-mobell-s41-h?ng-ch?nh-h?ng-p10761518.html?spid=53727819&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/74/65/5b/6c7559ca0f4fc7165db3c6eae226ecf7.jpg,(13 nh?n xét)
51050816,47475798,Ði?n Tho?i Samsung Galaxy A71 (128GB/8GB),8975000,-14%,/di?n-tho?i-samsung-galaxy-a71-128gb-8gb-h?ng-ch?nh-h?ng-da-kich-hoat-bao-h?nh-di?n-tu-p47475798.html?spid=51050816&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/94/2f/ae/8308cecfebc32911b38f333d372dadb5.jpg,(13 nh?n xét)
32033389,32033383,Ði?n Tho?i iPh?ne 11 Pro Max 256GB,32990000,-13%,/di?n-tho?i-iph?ne-11-pro-max-256gb-h?ng-ch?nh-h?ng-p32033383.html?spid=32033389&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5d/3c/d8/62b3e73d288a2c0c73aff58ff414401f.jpg,(58 nh?n xét)
53991023,33911924,Ði?n Tho?i iPh?ne 11 Pro Max 256GB,28799000,-30%,/di?n-tho?i-iph?ne-11-pro-max-256gb-h?ng-nhap-khau-p33911924.html?spid=53991023&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/86/db/bc/ba55876127bea308f1ebe65da71caa82.png,(7 nh?n xét)
54023235,54023229,Ði?n Tho?i OPPO RENO 3 (8GB/128GB),6790000,-24%,/di?n-tho?i-oppo-reno-3-8gb-128gb-h?ng-ch?nh-h?ng-p54023229.html?spid=54023235&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/20/3c/0d/4443a473a56a1574050914227f5faa2f.jpg,(12 nh?n xét)
54159847,36196166,Ði?n Tho?i Realme 5 (4GB/128GB),3490000,-30%,/di?n-tho?i-realme-5-4gb-128gb-h?ng-ch?nh-h?ng-p36196166.html?spid=54159847&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/bb/c4/e2/420bdc22858e5b17d3c8ff9e62176e80.jpg,(11 nh?n xét)
35043488,36700352,Ði?n Tho?i iPh?ne 8 Plus 128GB,13990000,-26%,/di?n-tho?i-iph?ne-8-plus-h?ng-ch?nh-h?ng-vn-a-p36700352.html?spid=35043488&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b0/39/73/aa015ff37be75f60a07439ddd47310ac.jpg,(60 nh?n xét)
57053248,15363972,Ði?n Tho?i Itel S13 Pro,1090000,-42%,/di?n-tho?i-itel-s13-pro-h?ng-ch?nh-h?ng-p15363972.html?spid=57053248&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/4a/e9/bc/712b8814b6c3931df70f29761eb73e19.jpg,(5 nh?n xét)
53991351,34016501,Ði?n Tho?i iPh?ne 11 64GB,17599000,-23%,/di?n-tho?i-iph?ne-11-64gb-h?ng-nhap-khau-p34016501.html?spid=53991351&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/b5/a9/685dcf8857f487cd8632bccf7b8176c9.png,(14 nh?n xét)
57844450,57127752,Ði?n Tho?i Xiao?i Redmi 9,3090000,-14%,/di?n-tho?i-xiao?i-redmi-9-h?ng-ch?nh-h?ng-p57127752.html?spid=57844450&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/7b/d4/27/0e025466a82691de45df61530b7bf217.png,(4 nh?n xét)
39089189,35770986,Ði?n Tho?i Xiao?i Redmi 8A (2GB/32GB),2190000,-37%,/di?n-tho?i-xiao?i-redmi-8a-2gb-32gb-h?ng-ch?nh-h?ng-p35770986.html?spid=39089189&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/58/2a/e8/7e3f40983e6b0dfa60aefae3867c4050.jpg,(126 nh?n xét)
45339111,45339109,Ði?n Tho?i Samsung Galaxy A51 (128GB/6GB),7590000,-5%,/di?n-tho?i-samsung-galaxy-a51-128gb-6gb-h?ng-ch?nh-h?ng-p45339109.html?spid=45339111&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/da/fd/c806910bc5a12d1c43a2e0932ff10732.jpg,(111 nh?n xét)
54749371,46753117,Ði?n Tho?i Vsmart Active 3,2850000,-37%,/di?n-tho?i-vsmart-active-3-h?ng-ch?nh-h?ng-p46753117.html?spid=54749371&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/21/b2/3a/3cf0cf3433d7122448bb1f90bf9b7bb0.png,(397 nh?n xét)
54349525,48524359,Ði?n Tho?i Vsmart Joy 3,1980000,-14%,/di?n-tho?i-vsmart-joy-3-h?ng-ch?nh-h?ng-p48524359.html?spid=54349525&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5a/7b/e1/5acd19c60380413b3e72ac3460da0f62.jpg,(357 nh?n xét)
53793247,53516830,Ði?n Tho?i Samsung Galaxy A11 (32GB/3GB),3220000,-13%,/di?n-tho?i-samsung-galaxy-a11-32gb-3gb-h?ng-ch?nh-h?ng-p53516830.html?spid=53793247&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/98/b8/89/c078436f8c04567119078c0e7adfc255.jpg,(46 nh?n xét)
32033719,32033717,Ði?n Tho?i iPh?ne 11 64GB,18990000,-17%,/di?n-tho?i-iph?ne-11-64gb-h?ng-ch?nh-h?ng-p32033717.html?spid=32033719&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/84/3d/55/7bb112f36cd07f712d461e386e74e3d5.jpg,(147 nh?n xét)
45695397,45695395,Ði?n Tho?i Samsung Galaxy A51 (128GB/6GB),5999000,-25%,/di?n-tho?i-samsung-galaxy-a51-128gb-6gb-h?ng-ch?nh-h?ng-da-kich-hoat-bao-h?nh-di?n-tu-p45695395.html?spid=45695397&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/98/a8/a6a1dc2eec8189746bf75c824a6d64e9.jpg,(164 nh?n xét)
32033732,32033730,Ði?n Tho?i iPh?ne 11 128GB,20490000,-15%,/di?n-tho?i-iph?ne-11-128gb-h?ng-ch?nh-h?ng-p32033730.html?spid=32033732&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/499c08d6ec13cd33b33ee601d9e4251e.jpg,(79 nh?n xét)
16256387,16256385,Ði?n Tho?i Vivo Y15 (4GB / 64GB),2790000,-44%,/di?n-tho?i-vivo-y15-4gb-64gb-h?ng-ch?nh-h?ng-p16256385.html?spid=16256387&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d7/7c/13/f9e94af4553b064963a0dbdbe7c6b39b.jpg,(69 nh?n xét)
58444051,35843180,Ði?n Tho?i Samsung Galaxy A20s,4390000,,/di?n-tho?i-samsung-galaxy-a20s-h?ng-ch?nh-h?ng-p35843180.html?spid=58444051&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/67/92/7a/eb626e7ada147c1946427f3fef1d2f69.jpg,(139 nh?n xét)
54353918,51553387,Ði?n THo?i XIAo?i REDMi?nOTE 9S,5090000,-7%,/di?n-tho?i-xiao?i-redmi?note-9s-h?ng-ch?nh-h?ng-p51553387.html?spid=54353918&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a4/79/ce/daae9ce882ca20f2a71910afe46a851b.png,(48 nh?n xét)
32028826,32028822,Ði?n Tho?i iPh?ne 11 Pro Max 64GB,28490000,-16%,/di?n-tho?i-iph?ne-11-pro-max-64gb-h?ng-ch?nh-h?ng-p32028822.html?spid=32028826&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/6b/da/72/8a286001708741cbcdedc0cbfe8f0cae.jpg,(127 nh?n xét)
